step,sim_time,avg_wait_time,queue_length,pressure,throughput,avg_speed,action,reward
0,2.0,0.0,0,20,0,12.83870369963502,0,-3.0
1,4.0,0.0,0,20,0,12.85190362879689,0,-3.0
2,6.0,0.0,0,20,0,12.968385499024818,6,-3.0
3,8.0,0.0,0,20,0,12.987122312290724,4,-3.0
4,10.0,0.0,0,20,0,12.184667270213998,0,-3.0
5,12.0,0.0,0,14,0,7.551854338445688,0,-2.1
6,14.0,0.23076923076923078,3,16,0,5.260704784651802,0,-6.3
7,16.0,0.6923076923076923,4,16,0,5.889802067185415,2,-4.6
8,18.0,0.8181818181818182,3,10,0,7.049927607064333,4,-1.4
9,20.0,1.6666666666666667,3,2,0,8.448093385839236,4,-1.2
10,22.0,2.3333333333333335,3,0,1,8.167805590270252,4,-0.8949999999999999
11,24.0,3.0,3,2,0,5.537732453158185,4,-1.2
12,26.0,2.0588235294117645,4,20,1,6.787513178516781,2,-4.195
13,28.0,2.6470588235294117,5,20,0,5.961394691152403,4,-4.5
14,30.0,3.4705882352941178,7,24,0,7.073524530132336,2,-5.699999999999999
15,32.0,4.294117647058823,7,26,0,7.176886996744859,4,-6.0
16,34.0,5.117647058823529,7,26,0,6.634358979966492,4,-6.0
17,36.0,3.4,4,24,0,5.299365852801283,0,-3.8
18,38.0,0.05,1,29,0,7.096140893472139,6,-4.6499999999999995
19,40.0,0.16666666666666666,2,22,0,7.004107087099502,0,-4.9
20,42.0,0.5625,3,18,0,6.296985043015271,2,-3.5999999999999996
21,44.0,1.3571428571428572,5,12,0,6.023006443778469,0,-3.3
22,46.0,2.0714285714285716,5,8,0,5.7950682793465775,0,-2.7
23,48.0,2.7857142857142856,5,4,0,4.11920812164792,2,-2.1
24,50.0,2.5,6,18,0,7.2685772101444,0,-5.5
25,52.0,1.0555555555555556,3,15,0,7.419815911918254,4,-1.15
26,54.0,1.6111111111111112,5,16,0,7.811786937382938,4,-3.9
27,56.0,2.0,4,9,0,7.318515329749236,0,-2.55
28,58.0,3.0,5,13,0,6.54039277170843,2,-3.45
29,60.0,3.25,5,14,0,4.541522733059402,2,-3.6
30,62.0,3.4,8,25,0,4.094881606317836,3,-6.15
31,64.0,3.6666666666666665,8,23,1,4.3473108732602475,4,-4.845
32,66.0,3.7058823529411766,4,17,0,5.018062190413509,0,-1.7499999999999998
33,68.0,4.666666666666667,5,11,1,5.43452588042479,4,-4.1450000000000005
