step,sim_time,avg_wait_time,queue_length,pressure,throughput,avg_speed,action,reward
0,2.0,0.0,0,20,0,12.83870369963502,4,0.0
1,4.0,0.0,0,20,0,12.85190362879689,0,0.0
2,6.0,0.0,0,20,0,12.968385499024818,4,0.0
3,8.0,0.0,0,20,0,12.987122312290724,4,0.0
4,10.0,0.0,0,20,0,12.184667270213998,0,0.0
5,12.0,0.0,0,12,0,7.576957913672762,4,0.0
6,14.0,0.08333333333333333,1,16,0,6.145751049406242,0,-1.0
7,16.0,0.5384615384615384,4,15,0,6.254694432746878,6,-4.0
8,18.0,1.5454545454545454,5,7,0,6.933012715743801,0,-5.0
9,20.0,2.4545454545454546,5,4,0,6.922409009985901,0,-5.0
10,22.0,2.3333333333333335,3,6,2,8.254548861926587,2,-3.0
11,24.0,3.0,3,4,0,5.757134785468556,2,-3.0
12,26.0,2.2,3,18,1,8.272798768079815,0,-3.0
13,28.0,3.0,3,8,1,7.741644697896422,0,-3.0
14,30.0,3.0,3,10,0,8.087984407319457,0,-3.0
15,32.0,3.6,5,15,0,8.036362498922896,0,-5.0
16,34.0,4.266666666666667,5,15,0,8.00121853948471,0,-5.0
17,36.0,2.4615384615384617,3,13,0,7.024613060069982,4,-3.0
18,38.0,2.235294117647059,3,21,3,7.821546370304278,4,-3.0
19,40.0,2.75,3,17,0,7.49734696460047,0,-3.0
20,42.0,3.642857142857143,4,11,0,6.560962818502096,0,-4.0
21,44.0,4.571428571428571,7,7,0,6.223466811131304,1,-7.0
22,46.0,5.2,7,7,0,6.135965222028364,0,-7.0
23,48.0,6.153846153846154,6,3,1,3.730526369720253,4,-6.0
24,50.0,4.65,7,17,2,6.831948457105456,0,-7.0
25,52.0,5.777777777777778,7,9,0,7.251392772590283,0,-7.0
26,54.0,6.555555555555555,7,13,0,6.887877060734093,4,-7.0
27,56.0,7.764705882352941,7,11,0,6.298388628454616,0,-7.0
28,58.0,8.705882352941176,9,11,0,5.962209033079837,0,-9.0
29,60.0,4.294117647058823,6,13,0,4.893410289722024,2,-6.0
30,62.0,3.8947368421052633,4,23,2,5.034661054497981,0,-4.0
31,64.0,4.526315789473684,7,23,0,4.303327695026038,5,-7.0
32,66.0,5.888888888888889,10,19,0,4.261608681052429,0,-10.0
33,68.0,7.529411764705882,11,15,1,3.5924362213480356,0,-11.0
34,70.0,7.933333333333334,7,9,0,3.57583919026751,4,-7.0
35,72.0,7.571428571428571,6,6,0,2.9108264306579,2,-6.0
36,74.0,4.791666666666667,7,23,2,6.987659582966195,0,-7.0
