step,sim_time,avg_wait_time,queue_length,pressure,throughput,avg_speed,action,reward
0,2.0,0.0,0,20,0,12.83870369963502,2,-20.0
1,4.0,0.0,0,20,0,12.85190362879689,4,-20.0
2,6.0,0.0,0,20,0,12.968385499024818,4,-20.0
3,8.0,0.0,0,20,0,12.987122312290724,2,-20.0
4,10.0,0.0,0,20,0,12.11533306392007,2,-20.0
5,12.0,0.0,0,12,0,7.6149988925804575,4,-12.0
6,14.0,0.4166666666666667,4,14,0,5.101783314902315,4,-14.0
7,16.0,1.0714285714285714,5,14,0,5.37804071062519,4,-14.0
8,18.0,2.142857142857143,8,14,0,5.386546250722759,4,-14.0
9,20.0,2.0833333333333335,4,10,0,6.4563968006165915,0,-10.0
10,22.0,2.75,4,12,2,6.054554794952132,4,-12.0
11,24.0,3.5833333333333335,6,12,1,3.9929164145979263,4,-12.0
12,26.0,2.9,8,28,0,5.565289093880335,4,-28.0
13,28.0,3.8,10,30,1,4.77280374431959,5,-30.0
14,30.0,3.6,7,24,0,6.192333808170512,0,-24.0
15,32.0,4.277777777777778,6,20,0,6.963942916510092,0,-20.0
16,34.0,4.944444444444445,6,22,0,7.12439922816357,0,-22.0
17,36.0,6.0588235294117645,7,18,0,5.04328112415416,4,-18.0
18,38.0,5.714285714285714,9,22,0,6.128710563746539,4,-22.0
19,40.0,6.95,10,16,0,5.037683052087791,4,-16.0
20,42.0,8.1,12,14,0,4.38408619097965,4,-14.0
21,44.0,9.45,14,18,0,3.798150914695632,4,-18.0
22,46.0,9.863636363636363,14,24,0,3.067426193569888,4,-24.0
23,48.0,11.227272727272727,16,26,0,1.5621740820720411,4,-26.0
24,50.0,9.433333333333334,19,42,0,4.282427300702583,4,-42.0
25,52.0,7.142857142857143,16,42,1,4.659249479577764,2,-42.0
26,54.0,5.346153846153846,10,40,0,5.057592951973721,0,-40.0
27,56.0,4.3076923076923075,8,36,0,4.611334992338616,0,-36.0
28,58.0,4.5,11,36,0,3.36434009267379,4,-36.0
29,60.0,5.0,9,34,0,2.6159488074876376,0,-34.0
30,62.0,5.535714285714286,13,36,0,3.180296625927858,0,-36.0
31,64.0,6.653846153846154,11,24,0,3.791169849470938,4,-24.0
32,66.0,5.96,6,27,0,4.02546360277301,2,-27.0
33,68.0,6.521739130434782,7,24,1,3.0738192749216293,2,-24.0
34,70.0,7.761904761904762,9,17,0,2.3374899813827783,4,-17.0
35,72.0,8.15,5,12,0,0.8977518750687821,0,-12.0
36,74.0,5.5,9,38,2,4.862456238630782,4,-38.0
37,76.0,6.15625,12,40,1,4.863769303355616,4,-40.0
38,78.0,7.15625,17,42,0,4.831146456654656,4,-42.0
39,80.0,8.033333333333333,14,37,1,5.144100467763781,0,-37.0
40,82.0,8.366666666666667,12,38,2,3.5826100638889367,4,-38.0
41,84.0,9.321428571428571,10,37,1,2.1131718339738352,0,-37.0
42,86.0,9.4,11,37,0,2.6116339080781734,0,-37.0
43,88.0,9.870967741935484,13,33,0,3.5476742087711477,4,-33.0
44,90.0,11.586206896551724,15,29,0,3.4103480995280604,4,-29.0
45,92.0,13.142857142857142,16,27,0,2.6649166380666807,4,-27.0
46,94.0,14.923076923076923,16,19,0,2.1700835302218087,0,-19.0
47,96.0,16.44,14,19,2,1.62964243854411,0,-19.0
48,98.0,14.064516129032258,13,27,0,4.118296817789273,0,-27.0
49,100.0,16.0,14,27,0,4.210000155744487,0,-27.0
50,102.0,15.96774193548387,16,27,0,4.935707173073297,4,-27.0
51,104.0,8.310344827586206,13,29,0,4.872843581095157,6,-29.0
52,106.0,8.11111111111111,10,23,0,4.7531166367828215,0,-23.0
53,108.0,9.48,10,17,0,3.0124223868543196,4,-17.0
54,110.0,8.451612903225806,13,29,0,3.534931387032953,1,-29.0
55,112.0,9.483870967741936,17,33,0,2.6494710219384543,7,-33.0
56,114.0,11.517241379310345,21,29,1,2.767269030153097,4,-29.0
57,116.0,12.785714285714286,20,25,0,2.814976551750376,0,-25.0
58,118.0,12.666666666666666,17,28,0,2.606798800621436,4,-28.0
59,120.0,14.571428571428571,16,27,0,1.532495499642373,0,-27.0
60,122.0,12.222222222222221,18,43,0,3.840803856532778,4,-43.0
61,124.0,13.911764705882353,17,37,0,3.759580803799435,0,-37.0
62,126.0,15.84375,17,33,1,3.652302182443483,0,-33.0
63,128.0,17.03125,19,31,0,3.671409746563106,4,-31.0
64,130.0,19.433333333333334,19,27,1,3.2328577008929518,0,-27.0
65,132.0,20.7,19,21,0,3.386204855698649,0,-21.0
66,134.0,20.59375,19,25,0,3.637377749970594,4,-25.0
67,136.0,23.366666666666667,22,17,1,2.7834328586014325,4,-17.0
68,138.0,26.25,19,17,0,2.42352730076836,0,-17.0
69,140.0,27.642857142857142,20,15,0,2.1528487254469724,5,-15.0
70,142.0,31.384615384615383,21,13,0,1.7001950849994805,0,-13.0
71,144.0,35.75,21,11,0,0.8985262598647684,0,-11.0
72,146.0,26.470588235294116,21,23,0,4.516832263854662,0,-23.0
73,148.0,28.545454545454547,21,23,3,4.460961898363133,0,-23.0
74,150.0,29.818181818181817,21,23,0,4.565777916692457,4,-23.0
75,152.0,31.09090909090909,21,27,0,4.128863364069035,4,-27.0
76,154.0,32.39393939393939,22,31,2,3.442006551202686,0,-31.0
77,156.0,34.8125,23,33,0,2.251001950600673,4,-33.0
78,158.0,34.23529411764706,26,39,1,2.346387603442734,0,-39.0
79,160.0,35.85294117647059,28,33,1,2.448868311533412,0,-33.0
80,162.0,39.46875,25,27,0,2.6789160069677083,4,-27.0
81,164.0,42.354838709677416,25,23,0,2.6266405808731985,4,-23.0
82,166.0,43.96774193548387,25,19,0,1.8175938335327244,4,-19.0
83,168.0,35.6551724137931,22,19,0,0.8741711328852108,2,-19.0
84,170.0,20.18918918918919,20,37,0,3.0956642969576524,4,-37.0
85,172.0,14.837837837837839,17,41,0,2.983136609146889,4,-41.0
86,174.0,12.486486486486486,15,39,0,3.8402719195012627,0,-39.0
87,176.0,11.81081081081081,14,41,0,4.119888342257539,0,-41.0
88,178.0,12.72972972972973,18,41,1,3.8405830420940843,4,-41.0
89,180.0,14.428571428571429,20,35,0,1.9705768107183839,0,-35.0
90,182.0,14.025641025641026,22,39,0,2.7178080644055345,4,-39.0
91,184.0,16.243243243243242,29,31,0,2.169332125791212,4,-31.0
92,186.0,17.83783783783784,30,31,1,2.1922281836028032,4,-31.0
93,188.0,20.142857142857142,27,29,0,2.3960164580897456,0,-29.0
94,190.0,21.685714285714287,27,23,0,2.411605540740227,0,-23.0
95,192.0,23.228571428571428,27,21,1,1.5853605719131243,4,-21.0
96,194.0,21.21951219512195,29,37,0,3.2665171063687772,0,-37.0
97,196.0,21.487179487179485,28,37,0,2.741126338943707,2,-37.0
98,198.0,20.641025641025642,25,35,0,2.9766007363318714,4,-35.0
99,200.0,19.794871794871796,23,35,0,3.0556596967345055,4,-35.0
100,202.0,19.56756756756757,19,37,2,2.8581596744758384,0,-37.0
101,204.0,18.31578947368421,17,35,1,2.63638426349039,4,-35.0
102,206.0,18.15,21,41,0,2.339609280151133,0,-41.0
103,208.0,19.76923076923077,24,35,0,1.7058775176950634,4,-35.0
104,210.0,21.605263157894736,26,35,0,1.5904658832287975,0,-35.0
105,212.0,23.45945945945946,28,29,0,1.3919552919432787,4,-29.0
106,214.0,25.694444444444443,29,31,1,1.3558681170913633,4,-31.0
107,216.0,28.88235294117647,31,23,0,0.936132132779069,0,-23.0
108,218.0,22.068181818181817,27,43,0,4.01983575926661,2,-43.0
109,220.0,22.80952380952381,23,35,0,4.0077023120614115,0,-35.0
110,222.0,22.428571428571427,20,37,0,3.7555978551230984,4,-37.0
111,224.0,22.095238095238095,20,37,0,3.294176239753395,4,-37.0
112,226.0,22.48780487804878,21,39,2,2.555831213742771,4,-39.0
113,228.0,24.333333333333332,22,31,0,1.711338077982291,0,-31.0
114,230.0,24.146341463414632,23,40,0,1.9136887782495198,4,-40.0
115,232.0,24.209302325581394,27,39,0,1.9942762925793702,1,-39.0
116,234.0,26.634146341463413,28,35,0,1.9942721690589313,0,-35.0
117,236.0,28.825,31,33,2,1.7955777237018116,0,-33.0
118,238.0,31.102564102564102,33,29,1,1.382668622775135,4,-29.0
119,240.0,34.5945945945946,34,25,0,0.6957842520638706,0,-25.0
120,242.0,30.0,35,39,0,2.2897697918440563,4,-39.0
121,244.0,33.02325581395349,35,35,0,2.1509615550464547,0,-35.0
122,246.0,33.111111111111114,35,39,1,2.8905835836422775,4,-39.0
123,248.0,34.666666666666664,35,43,0,2.8316571523962,4,-43.0
124,250.0,36.22222222222222,35,45,1,2.5345478486829176,0,-45.0
125,252.0,38.63636363636363,35,47,0,1.460442658778218,4,-47.0
126,254.0,36.183673469387756,37,55,1,2.255249262072127,0,-55.0
127,256.0,26.893617021276597,38,53,0,1.7571322952637514,6,-53.0
128,258.0,19.0,32,48,0,2.1359759130442075,0,-48.0
129,260.0,16.727272727272727,27,41,0,1.9151273366565946,4,-41.0
130,262.0,16.88888888888889,30,37,0,1.9775522642480137,0,-37.0
131,264.0,18.568181818181817,31,35,0,1.0284930572644693,4,-35.0
132,266.0,17.352941176470587,35,51,0,2.108477397710982,4,-51.0
133,268.0,19.02,36,47,0,1.9868199051489994,0,-47.0
134,270.0,21.416666666666668,39,45,0,2.152689116065734,0,-45.0
135,272.0,23.041666666666668,39,45,0,2.1595679019914957,4,-45.0
136,274.0,24.666666666666668,39,45,1,1.9594197378259424,4,-45.0
137,276.0,26.291666666666668,39,45,0,1.612382360267051,0,-45.0
138,278.0,26.8,39,49,2,1.7647047416819555,4,-49.0
139,280.0,29.5625,40,39,0,1.056862675191137,4,-39.0
140,282.0,31.375,44,41,0,1.0364078947337656,4,-41.0
141,284.0,33.208333333333336,44,43,1,1.0510796144756265,4,-43.0
142,286.0,35.041666666666664,44,43,0,0.8516799408176609,4,-43.0
143,288.0,37.97826086956522,41,39,1,0.5244570782296437,0,-39.0
144,290.0,31.53448275862069,41,61,0,2.794328204144887,4,-61.0
145,292.0,34.125,41,59,0,2.6500391279564224,0,-59.0
146,294.0,35.589285714285715,41,59,0,2.380559325117125,4,-59.0
147,296.0,37.17857142857143,45,59,0,2.216115785070859,4,-59.0
148,298.0,40.092592592592595,43,55,0,1.8084046366170758,0,-55.0
149,300.0,37.32692307692308,40,49,0,1.0831858552815556,2,-49.0
150,302.0,31.796296296296298,38,54,0,1.3591241177977391,0,-54.0
151,304.0,27.10909090909091,34,57,2,1.5910347623216274,4,-57.0
152,306.0,24.88888888888889,35,55,0,1.4393343509980452,0,-55.0
153,308.0,21.0,32,50,0,1.2298595554849774,2,-50.0
154,310.0,17.607843137254903,28,41,0,1.264608148313539,0,-41.0
155,312.0,16.8,28,41,0,1.0354316142786144,0,-41.0
156,314.0,12.767857142857142,24,53,0,2.3136495461291235,4,-53.0
157,316.0,12.745454545454546,24,49,0,2.0697670278204487,4,-49.0
158,318.0,13.052631578947368,27,53,1,2.338104414788088,4,-53.0
159,320.0,14.105263157894736,30,53,0,2.1395593159497595,4,-53.0
160,322.0,15.527272727272727,30,50,0,1.9048905356238688,0,-50.0
161,324.0,17.01851851851852,33,52,0,1.2287330386902626,4,-52.0
162,326.0,16.310344827586206,35,58,0,1.9771508323340297,2,-58.0
163,328.0,17.196428571428573,36,53,0,1.857952411102468,4,-53.0
164,330.0,17.98148148148148,34,50,1,1.738540936860259,0,-50.0
165,332.0,19.056603773584907,36,46,0,1.5081845802569949,0,-46.0
166,334.0,19.339622641509433,34,44,0,1.3501382083817952,2,-44.0
167,336.0,19.826923076923077,27,42,1,0.8331979284616842,4,-42.0
168,338.0,17.566666666666666,30,61,2,2.0614166749533376,4,-61.0
169,340.0,18.379310344827587,26,59,0,2.1543071515103973,2,-59.0
170,342.0,18.964285714285715,20,58,0,2.41785023460876,0,-58.0
171,344.0,19.285714285714285,19,60,0,2.495953012695255,4,-60.0
172,346.0,19.839285714285715,20,58,1,2.084515057424769,4,-58.0
173,348.0,20.607142857142858,23,58,0,1.497196527394136,4,-58.0
174,350.0,20.448275862068964,25,62,0,1.7238821796089985,2,-62.0
175,352.0,21.910714285714285,26,55,0,1.525901797006643,4,-55.0
176,354.0,22.660714285714285,26,54,0,1.5634964855639233,4,-54.0
177,356.0,24.333333333333332,24,54,1,1.2856614063070144,2,-54.0
178,358.0,25.22222222222222,24,54,0,1.0400926798789956,4,-54.0
179,360.0,26.185185185185187,27,56,1,0.6344993745047879,4,-56.0
180,362.0,22.303030303030305,30,79,0,2.3264145057788985,4,-79.0
181,364.0,23.046875,31,78,1,2.184796114903151,0,-78.0
182,366.0,23.265625,29,76,0,2.2977507364512686,4,-76.0
183,368.0,24.532258064516128,29,72,0,2.21616301644702,0,-72.0
184,370.0,25.533333333333335,26,68,0,1.8439196545524748,2,-68.0
185,372.0,26.406779661016948,29,64,0,1.3417373526791474,4,-64.0
186,374.0,26.0,26,64,0,1.8786983802788861,0,-64.0
187,376.0,26.096774193548388,27,64,0,1.978759622467501,0,-64.0
188,378.0,27.16393442622951,28,62,0,1.6980140555556968,4,-62.0
189,380.0,28.066666666666666,25,61,1,1.119430071827262,2,-61.0
190,382.0,29.74137931034483,27,61,0,0.6875375854969296,2,-61.0
191,384.0,30.94736842105263,26,61,0,0.6610237104000896,4,-61.0
192,386.0,27.923076923076923,28,76,1,1.9207602687310772,4,-76.0
193,388.0,29.73015873015873,30,76,1,1.9240332989398683,2,-76.0
194,390.0,30.015873015873016,28,74,0,2.478533016798214,0,-74.0
195,392.0,31.360655737704917,24,72,0,2.4349732510623543,2,-72.0
196,394.0,32.3,23,67,0,1.9236571745892987,4,-67.0
197,396.0,34.0,25,63,1,1.639452047984833,2,-63.0
198,398.0,32.145161290322584,19,68,1,2.4384204224905495,0,-68.0
199,400.0,33.26229508196721,20,66,0,2.339619213347382,4,-66.0
200,402.0,35.152542372881356,23,63,0,2.0595451298988428,4,-63.0
201,404.0,36.05084745762712,28,63,1,1.2520522476474665,4,-63.0
202,406.0,36.898305084745765,31,62,0,1.1383925498213698,0,-62.0
203,408.0,38.53448275862069,31,60,0,0.991313795633689,4,-60.0
204,410.0,34.86363636363637,34,75,0,2.0847151151105816,4,-75.0
205,412.0,36.04545454545455,41,77,1,1.828537551263391,4,-77.0
206,414.0,37.333333333333336,43,79,0,1.5523448993103999,4,-79.0
207,416.0,38.78787878787879,50,81,0,1.2608104761800643,4,-81.0
208,418.0,40.40909090909091,54,85,0,0.988232667770841,4,-85.0
209,420.0,41.515151515151516,52,85,1,0.8836975038209764,0,-85.0
210,422.0,40.85507246376812,52,91,0,1.3528104345501752,0,-91.0
211,424.0,43.149253731343286,49,81,0,1.188041152918134,4,-81.0
212,426.0,45.0,48,79,0,0.8619924198483017,0,-79.0
213,428.0,47.16923076923077,50,73,0,0.5122392280476198,4,-73.0
214,430.0,49.375,51,67,0,0.3892302460264195,4,-67.0
215,432.0,50.921875,51,69,1,0.3169619227242216,4,-69.0
216,434.0,45.13513513513514,50,87,0,2.233877027350749,0,-87.0
217,436.0,46.25675675675676,49,85,0,2.1272177877133136,4,-85.0
218,438.0,47.472972972972975,50,89,0,1.4776059766495775,4,-89.0
219,440.0,47.888888888888886,50,89,0,1.1212761391708603,2,-89.0
220,442.0,48.18571428571428,45,87,2,1.0977172971555937,0,-87.0
221,444.0,47.15714285714286,39,85,0,0.9062252346191267,0,-85.0
222,446.0,44.3013698630137,37,89,0,1.3329216590873776,4,-89.0
223,448.0,43.89041095890411,38,87,0,1.371960325542682,4,-87.0
224,450.0,43.41095890410959,35,85,0,1.0427696814943463,0,-85.0
225,452.0,43.69444444444444,38,81,0,0.5572326430640975,4,-81.0
226,454.0,45.68571428571428,36,77,0,0.3735098232487531,0,-77.0
227,456.0,48.161764705882355,41,71,0,0.41246532567608957,0,-71.0
228,458.0,44.608108108108105,37,85,0,1.7120063346574708,2,-85.0
229,460.0,45.0,35,87,0,1.6716095041211638,4,-87.0
230,462.0,44.26315789473684,37,91,1,1.6719764789899236,4,-91.0
231,464.0,44.776315789473685,40,93,1,1.451903713180712,4,-93.0
232,466.0,45.5,40,95,1,1.149695513784329,4,-95.0
233,468.0,46.946666666666665,45,97,0,0.8224044973275906,4,-97.0
234,470.0,45.36708860759494,45,101,1,1.2745396931929467,4,-101.0
235,472.0,46.97435897435897,48,98,1,0.9899385661926013,4,-98.0
236,474.0,48.9078947368421,49,93,0,0.6634208252605278,0,-93.0
237,476.0,50.42666666666667,52,87,0,0.3841987314213043,0,-87.0
238,478.0,51.44,53,83,0,0.6622580552618506,0,-83.0
239,480.0,52.50666666666667,54,79,0,0.5601033376238335,4,-79.0
240,482.0,48.566265060240966,57,99,0,1.5149686792520853,4,-99.0
241,484.0,49.7710843373494,58,101,0,1.2807346563769713,4,-101.0
242,486.0,51.096385542168676,63,103,1,1.1300237872886778,4,-103.0
243,488.0,52.493975903614455,63,107,2,0.9795881145255116,4,-107.0
244,490.0,53.93975903614458,64,111,0,0.9177426667627382,4,-111.0
245,492.0,44.325301204819276,62,113,0,0.9037251988176868,6,-113.0
246,494.0,33.593023255813954,62,117,0,0.8521250684783195,1,-117.0
247,496.0,23.511904761904763,60,115,0,0.6512718747192469,2,-115.0
248,498.0,14.91566265060241,56,109,0,0.5878074369448726,4,-109.0
249,500.0,8.78048780487805,50,103,0,0.46146946843695946,0,-103.0
250,502.0,6.575,48,99,0,0.39686086310478763,0,-99.0
251,504.0,5.075,45,95,0,0.5164274829743662,3,-95.0
252,506.0,4.50561797752809,45,109,0,1.839099921896121,4,-109.0
253,508.0,3.7777777777777777,45,109,0,1.516322116367866,4,-109.0
254,510.0,3.7444444444444445,50,112,0,1.088661083700156,4,-112.0
255,512.0,4.0,50,109,0,0.984289747752672,0,-109.0
256,514.0,4.712643678160919,46,109,0,0.8826185099962615,4,-109.0
257,516.0,5.77906976744186,51,107,0,0.6966310939660494,4,-107.0
258,518.0,6.825581395348837,51,103,0,0.743744965910136,0,-103.0
259,520.0,7.7011494252873565,51,105,0,0.7917004913913711,4,-105.0
260,522.0,8.827586206896552,55,103,0,0.5533987679153818,5,-103.0
261,524.0,10.31764705882353,55,99,1,0.3924696483416882,0,-99.0
262,526.0,11.903614457831326,56,97,0,0.4555956562915869,0,-97.0
263,528.0,12.234567901234568,54,93,1,0.606039692305302,2,-93.0
264,530.0,11.430232558139535,49,101,0,1.4595588142995382,4,-101.0
265,532.0,11.333333333333334,49,105,0,1.2484905310404126,4,-105.0
266,534.0,11.134831460674157,47,109,1,1.3651894048618478,1,-109.0
267,536.0,11.303370786516854,51,111,1,1.156259855474133,4,-111.0
268,538.0,11.795454545454545,49,113,0,1.0670398446940004,0,-113.0
269,540.0,11.772727272727273,47,112,1,0.9921831424960575,4,-112.0
270,542.0,11.544444444444444,46,113,1,1.2698222870201208,0,-113.0
271,544.0,12.089887640449438,46,109,0,0.9942332221916605,0,-109.0
272,546.0,12.931818181818182,43,105,0,0.7872459844359195,4,-105.0
273,548.0,14.011363636363637,49,103,0,0.6129864847092971,0,-103.0
274,550.0,15.181818181818182,52,101,1,0.6825015009687939,0,-101.0
275,552.0,15.906976744186046,52,97,0,0.7490897488547646,2,-97.0
276,554.0,15.208791208791208,50,110,3,1.5265470828632484,4,-110.0
277,556.0,15.777777777777779,49,107,1,1.3410177310881743,4,-107.0
278,558.0,16.53932584269663,49,106,0,1.3188284702343374,2,-106.0
279,560.0,17.202247191011235,51,105,0,1.2989915638040446,4,-105.0
280,562.0,17.533333333333335,51,113,1,1.1693200605861631,4,-113.0
281,564.0,17.966666666666665,49,114,1,0.8343329105368829,2,-114.0
282,566.0,17.802197802197803,47,115,1,0.8312461432504757,0,-115.0
283,568.0,18.087912087912088,44,119,0,0.8040852802040456,4,-119.0
284,570.0,18.119565217391305,42,120,2,0.5875502520864524,4,-120.0
285,572.0,19.155555555555555,44,114,0,0.5601549697444586,4,-114.0
286,574.0,20.089887640449437,42,110,0,0.5246974314968319,0,-110.0
287,576.0,21.35632183908046,44,102,0,0.4969627822594506,4,-102.0
288,578.0,20.0625,44,114,2,1.518351880021667,0,-114.0
289,580.0,20.711340206185568,46,120,0,1.2962613370804936,4,-120.0
290,582.0,22.03157894736842,47,116,0,1.0685682257966935,0,-116.0
291,584.0,23.56989247311828,53,110,1,0.9970475283952894,0,-110.0
292,586.0,25.197802197802197,54,104,1,1.0124759736099458,0,-104.0
293,588.0,26.96629213483146,55,98,0,0.8538249517041026,0,-98.0
294,590.0,28.224719101123597,56,96,0,1.132630108919833,4,-96.0
295,592.0,29.244444444444444,61,96,0,0.9851893453356987,0,-96.0
296,594.0,30.97752808988764,64,90,0,0.8924870352974319,0,-90.0
297,596.0,32.71590909090909,63,92,1,0.8958571924997423,4,-92.0
298,598.0,34.98837209302326,65,88,0,0.9088896757450954,0,-88.0
299,600.0,36.870588235294115,64,88,0,0.9310996246298062,4,-88.0
300,602.0,35.47826086956522,65,106,0,1.5123539003934803,4,-106.0
301,604.0,36.55913978494624,69,112,0,1.350402576027147,4,-112.0
302,606.0,37.86021505376344,65,110,1,1.1584417146681185,0,-110.0
303,608.0,34.40860215053763,62,109,0,1.1036143527896154,6,-109.0
304,610.0,29.5,58,110,0,1.0743614276599427,2,-110.0
305,612.0,24.439560439560438,50,112,2,0.9058054535114555,0,-112.0
306,614.0,18.273684210526316,44,114,0,1.1517257543624064,1,-114.0
307,616.0,14.872340425531915,45,114,0,0.9547593153063759,0,-114.0
308,618.0,11.376344086021506,45,110,0,0.7049501697220014,2,-110.0
309,620.0,7.65934065934066,40,107,0,0.7035397861712407,4,-107.0
310,622.0,5.277777777777778,37,103,1,0.6782528680925847,4,-103.0
311,624.0,5.213483146067416,38,101,0,0.5812823151919092,0,-101.0
312,626.0,4.189473684210526,40,113,0,1.360672015581744,0,-113.0
313,628.0,3.568421052631579,40,113,1,1.3062200451537216,1,-113.0
314,630.0,3.9468085106382977,41,113,0,1.2427189160471663,4,-113.0
315,632.0,4.526881720430108,44,115,3,1.14261593088839,2,-115.0
316,634.0,5.076923076923077,40,111,0,1.1476293119721577,0,-111.0
317,636.0,5.576086956521739,39,117,0,0.8798122455407041,0,-117.0
318,638.0,5.98936170212766,40,113,0,0.9344699239454555,0,-113.0
319,640.0,6.739130434782608,38,107,1,0.8952333022516284,4,-107.0
320,642.0,7.637362637362638,42,103,0,0.6813422004249909,0,-103.0
321,644.0,8.588888888888889,46,99,1,0.6143871646812081,0,-99.0
322,646.0,9.1,44,101,2,0.716429541267255,2,-101.0
323,648.0,9.886363636363637,40,94,1,0.7499713147298067,0,-94.0
324,650.0,9.578947368421053,37,111,0,1.8778132290215455,4,-111.0
325,652.0,10.09375,40,113,1,1.5786784697575964,4,-113.0
326,654.0,10.989473684210527,46,109,0,1.3655936531856032,4,-109.0
327,656.0,11.924731182795698,46,109,0,1.2823569477932963,0,-109.0
328,658.0,12.595744680851064,46,108,1,1.2005769826817287,4,-108.0
329,660.0,13.53191489361702,48,106,2,0.7684568590378972,4,-106.0
330,662.0,14.52127659574468,51,105,1,0.7025487143703971,4,-105.0
331,664.0,15.688172043010752,52,103,0,0.7260837056566577,0,-103.0
332,666.0,16.483516483516482,49,103,0,0.682193409170427,2,-103.0
333,668.0,16.82608695652174,48,104,1,0.5981218153775538,4,-104.0
334,670.0,17.532608695652176,51,105,0,0.5123675962163725,4,-105.0
335,672.0,18.533333333333335,52,107,0,0.4970199707841783,2,-107.0
336,674.0,17.775510204081634,54,123,0,1.2849033285592717,5,-123.0
337,676.0,18.272727272727273,55,125,0,1.172123868318575,4,-125.0
338,678.0,19.175257731958762,56,121,0,1.061878255068281,0,-121.0
339,680.0,19.65979381443299,54,122,0,1.0139556403140106,4,-122.0
340,682.0,20.389473684210525,51,120,0,1.0063827753512893,2,-120.0
341,684.0,21.02127659574468,43,116,0,0.9002961525570584,0,-116.0
342,686.0,20.7319587628866,39,121,0,1.0360843995574822,0,-121.0
343,688.0,21.38144329896907,38,117,0,0.9147362385718938,4,-117.0
344,690.0,22.354166666666668,43,115,0,0.7354796322475793,0,-115.0
345,692.0,23.0625,40,111,0,0.7078797562080646,4,-111.0
346,694.0,24.5,46,105,0,0.6571932327742915,4,-105.0
347,696.0,25.376344086021504,45,104,1,0.5987411269435231,2,-104.0
348,698.0,24.545454545454547,47,117,1,1.3927703187272715,4,-117.0
349,700.0,24.85148514851485,50,123,2,1.1834025272644804,4,-123.0
350,702.0,25.801980198019802,55,125,1,1.0818406115821704,4,-125.0
351,704.0,26.71,55,125,1,1.0764519539822452,0,-125.0
352,706.0,27.37,55,123,0,0.9480242965889086,4,-123.0
353,708.0,28.535353535353536,58,121,0,0.5908257601479096,0,-121.0
354,710.0,28.5,57,126,1,0.6839535685756103,0,-126.0
355,712.0,30.08,62,116,0,0.5805638646535185,0,-116.0
356,714.0,31.877551020408163,65,110,0,0.5608555822799978,0,-110.0
357,716.0,33.21649484536083,63,104,0,0.7096726691084776,4,-104.0
358,718.0,34.50515463917526,69,106,0,0.7027437141204812,4,-106.0
359,720.0,36.125,66,104,0,0.7335179379714963,0,-104.0
360,722.0,35.333333333333336,68,116,2,1.4168164298916774,4,-116.0
361,724.0,36.36893203883495,72,119,0,1.131120956143742,4,-119.0
362,726.0,37.801980198019805,74,121,0,1.0356095573659363,2,-121.0
363,728.0,38.44,71,116,0,1.153666624375216,0,-116.0
364,730.0,38.306930693069305,67,121,0,1.0684724763637548,7,-121.0
365,732.0,38.99,66,115,0,0.7416367520248194,4,-115.0
