step,sim_time,avg_wait_time,queue_length,pressure,throughput,avg_speed,action,reward
0,2.0,0.0,0,20,0,12.83870369963502,4,0.0
1,4.0,0.0,0,20,0,12.85190362879689,1,0.0
2,6.0,0.0,0,20,0,12.968385499024818,2,0.0
3,8.0,0.0,0,20,0,12.987122312290724,6,0.0
4,10.0,0.0,0,20,0,12.11533306392007,2,0.0
5,12.0,0.0,0,12,0,7.6149988925804575,4,0.0
6,14.0,0.4166666666666667,4,17,0,5.521068428123542,6,-4.0
7,16.0,0.75,3,14,0,6.536236670306551,0,-3.0
8,18.0,1.4166666666666667,4,10,0,6.599674274741957,6,-4.0
9,20.0,1.2,3,8,0,7.634777755811001,2,-3.0
10,22.0,2.0,4,10,2,7.350751183668261,1,-4.0
11,24.0,2.25,2,4,0,5.853724597841645,0,-2.0
12,26.0,1.375,2,19,1,7.894655035688784,2,-2.0
13,28.0,1.8571428571428572,2,16,1,7.653147620553483,0,-2.0
14,30.0,2.142857142857143,2,14,0,8.583652338568333,0,-2.0
15,32.0,2.642857142857143,4,10,0,8.512978696372508,0,-4.0
16,34.0,3.2142857142857144,4,12,0,8.688271658845688,6,-4.0
17,36.0,0.9166666666666666,2,8,0,7.662979071865769,4,-2.0
18,38.0,0.058823529411764705,1,17,0,8.259088251369338,2,-1.0
19,40.0,0.2,2,12,0,7.843344060660167,0,-2.0
20,42.0,0.6428571428571429,4,14,0,6.961967412838622,0,-4.0
21,44.0,1.0833333333333333,4,10,0,7.432002531035689,2,-4.0
22,46.0,1.6923076923076923,5,9,0,6.9555486617756195,2,-5.0
23,48.0,2.6363636363636362,4,4,1,4.182157490729052,0,-4.0
24,50.0,2.0555555555555554,4,21,1,7.672874085918356,6,-4.0
25,52.0,2.7222222222222223,6,21,1,7.238714037008915,2,-6.0
26,54.0,3.5625,5,17,0,8.421935666656232,0,-5.0
27,56.0,0.4,1,15,1,8.014310947177414,4,-1.0
28,58.0,0.7857142857142857,3,11,0,6.620794741244703,0,-3.0
29,60.0,0.8,5,15,0,4.815091907045369,6,-5.0
30,62.0,0.8235294117647058,5,19,1,4.846201961621463,4,-5.0
31,64.0,0.7058823529411765,5,21,0,4.849094160752958,2,-5.0
32,66.0,1.4,6,13,1,5.700852876686099,4,-6.0
33,68.0,0.6923076923076923,2,9,0,5.712954116829932,0,-2.0
34,70.0,1.3636363636363635,4,5,0,4.265802664111494,0,-4.0
35,72.0,2.4545454545454546,7,1,0,3.656611518166208,0,-7.0
36,74.0,1.3333333333333333,5,18,0,7.8050248414605505,4,-5.0
37,76.0,1.7142857142857142,5,16,1,7.115357183885059,0,-5.0
38,78.0,2.263157894736842,4,14,1,8.148530793055315,0,-4.0
39,80.0,2.6842105263157894,4,16,0,8.296982696860475,4,-4.0
40,82.0,3.588235294117647,5,12,0,8.028808722238413,0,-5.0
41,84.0,4.1875,4,10,0,4.94165623139691,4,-4.0
42,86.0,4.444444444444445,8,14,0,4.326480967220068,0,-8.0
43,88.0,5.555555555555555,11,8,0,4.137698956820819,0,-11.0
44,90.0,2.0,8,6,0,4.77619812954752,2,-8.0
45,92.0,2.357142857142857,6,4,0,5.7856547853303235,2,-6.0
46,94.0,3.2142857142857144,6,4,1,6.010888153437508,0,-6.0
47,96.0,4.916666666666667,8,6,0,4.183426603597867,0,-8.0
48,98.0,3.8333333333333335,6,20,0,7.138691506751872,2,-6.0
49,100.0,4.882352941176471,7,21,0,6.01316338838974,2,-7.0
50,102.0,2.4705882352941178,5,18,0,7.750290863338315,4,-5.0
51,104.0,2.625,3,15,0,8.266375144180456,0,-3.0
52,106.0,3.2,3,12,0,8.485018710308555,0,-3.0
