step,sim_time,avg_wait_time,queue_length,pressure,throughput,avg_speed,action,reward
0,2.0,0.0,0,20,0,12.83870369963502,0,-20.0
1,4.0,0.0,0,20,0,12.85190362879689,0,-20.0
2,6.0,0.0,0,20,0,12.968385499024818,2,-20.0
3,8.0,0.0,0,20,0,12.987122312290724,4,-20.0
4,10.0,0.0,0,20,0,11.81563325508077,6,-20.0
5,12.0,0.0,0,18,0,7.154280303425129,2,-18.0
6,14.0,0.2857142857142857,4,24,0,4.749468739443205,3,-24.0
7,16.0,0.5714285714285714,3,22,0,5.621981458111949,0,-22.0
8,18.0,1.5833333333333333,6,14,0,6.22739655787771,0,-14.0
9,20.0,2.5833333333333335,6,10,0,6.378748184667132,0,-10.0
10,22.0,3.5833333333333335,6,11,1,6.397688828900683,0,-11.0
11,24.0,5.5,6,8,0,5.001306161512339,0,-8.0
12,26.0,4.1875,6,12,0,7.2708302907150015,0,-12.0
13,28.0,1.8571428571428572,2,8,0,7.603603756583638,4,-8.0
14,30.0,2.0,2,8,0,8.319799662990354,4,-8.0
15,32.0,2.6666666666666665,5,10,0,8.032140810026693,0,-10.0
16,34.0,3.3333333333333335,5,10,0,8.141108842685833,0,-10.0
17,36.0,3.857142857142857,4,14,0,6.6968083639362606,4,-14.0
18,38.0,2.4210526315789473,2,23,1,7.274259891008897,2,-23.0
19,40.0,0.47058823529411764,4,22,1,6.55787905899632,6,-22.0
20,42.0,1.1875,8,24,0,5.966721087712873,2,-24.0
21,44.0,1.2857142857142858,5,19,0,6.005728013147404,0,-19.0
22,46.0,1.75,5,21,0,5.522327088572679,6,-21.0
23,48.0,0.4666666666666667,2,16,0,2.9532859601852763,4,-16.0
24,50.0,0.6818181818181818,5,30,1,6.349404796220057,0,-30.0
25,52.0,1.2857142857142858,6,25,1,6.660832093338364,0,-25.0
26,54.0,2.0,7,22,1,6.702621033136786,0,-22.0
27,56.0,2.789473684210526,7,17,1,6.016078737003615,1,-17.0
28,58.0,2.764705882352941,7,11,0,5.152207801423485,4,-11.0
29,60.0,1.411764705882353,3,12,0,4.7355071592796,2,-12.0
30,62.0,1.368421052631579,3,19,0,4.787301211801931,0,-19.0
31,64.0,0.47368421052631576,5,20,1,4.096020896227155,6,-20.0
32,66.0,1.2352941176470589,7,18,1,4.8261848501238305,2,-18.0
33,68.0,2.3333333333333335,7,11,0,5.036425084813344,0,-11.0
34,70.0,2.769230769230769,5,10,1,4.622143796476002,6,-10.0
35,72.0,3.6923076923076925,6,11,1,2.6205476900823617,1,-11.0
36,74.0,2.56,8,31,1,6.251374938772342,6,-31.0
37,76.0,3.260869565217391,8,30,0,6.63354923934387,0,-30.0
38,78.0,1.173913043478261,5,28,1,6.99598979437315,4,-28.0
39,80.0,1.1428571428571428,6,26,0,7.615335193924256,0,-26.0
40,82.0,1.85,7,24,0,6.558332386705196,0,-24.0
41,84.0,1.5,5,22,0,3.927746983051647,2,-22.0
42,86.0,1.8181818181818181,7,28,0,3.2994665992550436,1,-28.0
43,88.0,2.6818181818181817,10,24,0,3.8602905459103565,0,-24.0
44,90.0,4.25,13,20,0,3.83129168538308,0,-20.0
45,92.0,5.842105263157895,13,16,0,3.9604680846461084,0,-16.0
46,94.0,7.2105263157894735,13,18,0,3.905803397984358,3,-18.0
47,96.0,5.352941176470588,9,17,2,3.523459432284668,4,-17.0
48,98.0,1.391304347826087,4,28,0,5.8162851261417305,6,-28.0
49,100.0,1.4761904761904763,5,21,0,5.475841862793181,4,-21.0
50,102.0,1.5238095238095237,4,22,2,7.0131401428177265,0,-22.0
51,104.0,2.1578947368421053,5,18,0,7.110001511912792,0,-18.0
52,106.0,2.736842105263158,6,14,0,6.6235110400151855,0,-14.0
53,108.0,3.3529411764705883,5,10,0,4.093675676000065,4,-10.0
54,110.0,3.1363636363636362,7,18,0,5.3788050123917595,4,-18.0
55,112.0,3.7,5,18,4,5.100869808671584,0,-18.0
56,114.0,4.3,6,18,0,4.708910379245678,0,-18.0
57,116.0,5.833333333333333,10,12,1,4.447888846854679,0,-12.0
58,118.0,6.3,11,16,0,5.455863378183456,0,-16.0
59,120.0,8.333333333333334,12,12,0,3.673639894821866,0,-12.0
60,122.0,2.6666666666666665,10,26,0,5.320385595569495,2,-26.0
61,124.0,1.1818181818181819,6,20,0,5.981439877783234,4,-20.0
62,126.0,0.8571428571428571,4,21,2,6.022533664000987,2,-21.0
63,128.0,1.5263157894736843,6,18,0,6.2059699652871645,4,-18.0
64,130.0,1.588235294117647,6,12,0,5.540171895792593,0,-12.0
65,132.0,2.3684210526315788,9,14,0,4.794090697570654,0,-14.0
66,134.0,3.0476190476190474,10,16,0,5.227745728241525,0,-16.0
67,136.0,4.473684210526316,11,12,0,4.279272388495039,0,-12.0
68,138.0,4.0588235294117645,9,10,0,4.966638318875254,2,-10.0
69,140.0,4.75,8,13,3,4.725993514850749,2,-13.0
70,142.0,6.133333333333334,8,10,0,4.3170367119671855,2,-10.0
71,144.0,8.461538461538462,9,9,0,1.893002919071903,0,-9.0
72,146.0,5.6521739130434785,11,27,0,6.3488820959056,0,-27.0
73,148.0,6.666666666666667,8,23,0,7.068741252463166,2,-23.0
74,150.0,7.8,8,20,0,7.458448279508066,2,-20.0
75,152.0,5.111111111111111,4,15,2,8.643283115758075,4,-15.0
76,154.0,3.6666666666666665,2,17,3,7.935523162294719,0,-17.0
77,156.0,4.0,3,21,0,4.231384455414332,1,-21.0
78,158.0,4.25,8,27,1,3.933265731618735,0,-27.0
79,160.0,4.428571428571429,10,24,1,4.1920906495012025,4,-24.0
80,162.0,5.368421052631579,7,17,0,4.7164010396159695,0,-17.0
81,164.0,6.2631578947368425,9,18,0,4.662901159182213,3,-18.0
82,166.0,7.315789473684211,11,20,1,4.519648558312955,0,-20.0
83,168.0,8.529411764705882,12,18,0,2.5166325585986806,2,-18.0
84,170.0,7.173913043478261,11,30,1,5.019450788799797,0,-30.0
85,172.0,8.130434782608695,11,32,0,4.493546022017651,0,-32.0
86,174.0,8.52,13,34,0,5.1828719463621145,3,-34.0
87,176.0,10.391304347826088,13,28,0,5.517610970931131,0,-28.0
88,178.0,11.521739130434783,13,28,0,4.2769277484415165,0,-28.0
89,180.0,10.666666666666666,10,24,0,3.245647706968299,4,-24.0
90,182.0,7.222222222222222,8,32,0,4.627511700424313,0,-32.0
91,184.0,8.24,8,32,0,4.276360077249394,0,-32.0
92,186.0,8.96,10,32,0,4.0670745094522,0,-32.0
93,188.0,10.826086956521738,14,22,1,3.561584290583059,0,-22.0
94,190.0,11.2,16,26,0,4.059015253703613,3,-26.0
95,192.0,13.652173913043478,17,20,0,2.6645371826891546,0,-20.0
96,194.0,12.03448275862069,18,26,0,4.548762638860865,0,-26.0
97,196.0,12.518518518518519,15,26,0,4.791128936032431,4,-26.0
98,198.0,12.074074074074074,11,26,2,4.728382954924793,0,-26.0
99,200.0,12.555555555555555,11,30,0,4.212120872380589,0,-30.0
