step,sim_time,avg_wait_time,queue_length,pressure,throughput,avg_speed,action,reward
0,15.0,0.00875,0.1,4,0,0.26107294319251845,0,-0.23
1,30.0,0.06736842105263158,0.25,19,4,0.39771514143999215,0,-0.8250000000000001
2,45.0,0.12958333333333333,0.4,24,4,0.3834175025404463,0,-1.12
3,60.0,0.19533333333333336,0.525,26,0,0.2812832345088625,0,-1.4575
4,75.0,0.2518421052631579,0.65,34,4,0.3922868745626605,0,-1.6950000000000003
5,90.0,0.3880555555555556,0.85,32,4,0.28518839676289737,0,-1.655
6,105.0,0.45785714285714285,0.925,38,4,0.2836346441988374,0,-1.9775
7,120.0,0.5183673469387755,1.075,48,4,0.2534472928883041,0,-2.5225000000000004
8,135.0,0.5798214285714285,1.25,56,4,0.25781787083883695,0,-2.975
9,150.0,0.628125,1.3,64,4,0.30003708429093257,0,-3.39
10,153.0,0.6295161290322581,1.35,62,0,0.27373515241246854,1,-3.555
11,168.0,0.2629310344827586,0.85,49,2,0.17198984939409587,1,-2.605
12,171.0,0.14816666666666667,0.75,53,3,0.1672686975304359,1,-2.7250000000000005
13,174.0,0.04016666666666666,0.675,52,1,0.10349855216992623,1,-2.7525
14,177.0,0.022586206896551726,0.625,50,2,0.10441506440704351,1,-2.5875
15,192.0,0.04767857142857143,0.85,47,10,0.07905247462790405,1,-2.105
16,195.0,0.04931034482758621,0.825,52,4,0.08417142513444704,1,-2.6475
17,198.0,0.03660714285714286,0.725,48,0,0.059960616872864504,1,-2.6175
18,201.0,0.025517241379310347,0.6,50,2,0.1318179191638737,1,-2.58
19,216.0,0.0596,0.925,41,10,0.036153886769269915,1,-1.8275000000000003
20,231.0,0.15891304347826088,1.0,34,13,0.21081270582452144,2,-1.4000000000000001
21,246.0,0.2592307692307692,1.125,50,17,0.20179762559645043,2,-1.9874999999999998
22,261.0,0.36642857142857144,1.225,52,2,0.2922834832134068,2,-2.8675
23,276.0,0.4346969696969697,1.4,66,4,0.2442969167462898,2,-3.5200000000000005
24,291.0,0.5105405405405405,1.55,74,4,0.28877817060138855,2,-3.9650000000000003
25,306.0,0.6648611111111111,1.75,68,0,0.26895054743518876,2,-3.9250000000000003
26,321.0,0.7190243902439025,1.9,82,4,0.23860152093564416,2,-4.470000000000001
27,336.0,0.8432142857142857,2.05,82,2,0.2572542644176082,2,-4.615
28,351.0,0.9696511627906976,2.1,83,2,0.2509284695464526,2,-4.680000000000001
29,366.0,1.024255319148936,2.175,94,4,0.24449239841572298,2,-5.1525
30,369.0,1.0383695652173912,2.15,92,0,0.2323101398987273,3,-5.295000000000001
31,384.0,0.7807142857142857,1.75,75,1,0.018645566642324415,3,-4.225
32,387.0,0.66,1.65,78,3,0.13643336141959328,3,-4.245
33,390.0,0.4823255813953488,1.5,78,2,0.19048901686663658,3,-4.25
34,393.0,0.32035714285714284,1.3,78,3,0.18906767319047332,3,-4.140000000000001
35,408.0,0.043875000000000004,1.225,72,10,0.02312760049187647,3,-3.4675000000000002
36,411.0,0.050975609756097565,1.225,76,3,0.10811831625586575,3,-4.0175
37,414.0,0.04682926829268293,1.175,74,0,0.14319980125392562,3,-4.0525
38,417.0,0.03560975609756098,1.125,74,2,0.15870635226374954,3,-3.9375
39,432.0,0.04263157894736842,1.05,68,10,0.025257018449055656,3,-3.2150000000000003
40,447.0,0.12957142857142856,1.325,59,13,0.13654196095008064,0,-2.7475
41,462.0,0.24528571428571427,1.35,59,17,0.2255556146873219,0,-2.505
42,477.0,0.37173913043478257,1.45,59,14,0.28464644682014545,0,-2.685
43,492.0,0.5089705882352942,1.525,62,14,0.23635150360905754,0,-2.8575
44,507.0,0.5972972972972973,1.6,70,6,0.3174869198063827,0,-3.6799999999999997
45,522.0,0.7752857142857142,1.75,66,4,0.2501799856011519,0,-3.6250000000000004
46,537.0,0.8756756756756756,1.8,70,4,0.25046918523753064,0,-3.84
47,552.0,0.9857142857142857,1.85,74,4,0.2338865222048213,0,-4.055000000000001
48,567.0,1.0427380952380951,2.0,84,4,0.22518251813698095,0,-4.6000000000000005
49,582.0,1.1065555555555555,2.0,87,1,0.28584485259211095,0,-4.9
50,585.0,1.1218181818181818,2.05,88,3,0.24873988819731935,1,-4.915
51,600.0,0.533780487804878,1.325,73,2,0.14596363994956277,1,-3.9475000000000002
52,603.0,0.30329268292682926,1.1,75,3,0.14753215420473842,1,-3.93
53,606.0,0.094125,0.875,73,1,0.11384160172894499,1,-3.8625000000000003
54,609.0,0.04329113924050633,0.825,72,3,0.0949775233057153,1,-3.6975000000000002
55,624.0,0.03768292682926829,1.125,73,9,0.041987436056236956,1,-3.5375000000000005
56,627.0,0.041325301204819274,1.1,75,2,0.04065108490291814,1,-3.98
57,630.0,0.033658536585365856,1.0,75,2,0.05681969382693759,1,-3.95
58,633.0,0.021904761904761906,0.825,76,2,0.14385070065855432,1,-3.9475000000000002
59,648.0,0.043375000000000004,1.2,72,10,0.035348759328725665,1,-3.46
60,663.0,0.1079746835443038,1.3,68,12,0.13586764590552225,2,-3.24
61,678.0,0.2421621621621622,1.75,60,14,0.2525301397971579,2,-2.825
62,693.0,0.37421052631578944,1.8,73,15,0.2666800943920459,2,-3.4400000000000004
63,708.0,0.48512195121951224,1.9,81,3,0.20990526317054806,2,-4.47
64,723.0,0.5744444444444444,2.0,89,3,0.2965320974780981,2,-4.9
65,738.0,0.748139534883721,2.15,83,2,0.2501799856011519,2,-4.695
66,753.0,0.8254255319148937,2.25,94,3,0.2328578703828937,2,-5.225
67,768.0,0.9713829787234043,2.35,91,1,0.25018122680743826,2,-5.205
68,783.0,1.1213829787234042,2.35,91,3,0.2501799856011519,2,-5.1049999999999995
69,798.0,1.1951,2.35,100,4,0.25219480158315205,2,-5.505
70,801.0,1.213877551020408,2.325,98,0,0.23528643239209007,3,-5.647500000000001
71,816.0,0.9797727272727274,1.825,80,2,0.02650526088745653,3,-4.4475
72,819.0,0.8456666666666667,1.725,82,2,0.13200776413639664,3,-4.5175
73,822.0,0.695,1.575,80,2,0.18653409553346784,3,-4.3725
74,825.0,0.5541860465116278,1.325,79,3,0.1862372947990726,3,-4.1975
75,840.0,0.039146341463414634,1.15,73,9,0.023447245758023715,3,-3.5450000000000004
76,843.0,0.04535714285714285,1.15,77,3,0.12232416882250258,3,-4.045
77,846.0,0.04297619047619047,1.15,76,1,0.14812811229219328,3,-4.095000000000001
78,849.0,0.03214285714285715,1.075,76,2,0.13132167541848627,3,-4.0225
79,864.0,0.044743589743589746,1.1,69,9,0.0238254939144214,3,-3.33
80,879.0,0.12945945945945947,1.4,63,14,0.12008109087985198,0,-2.9200000000000004
81,894.0,0.242972972972973,1.4,62,15,0.2438514598840489,0,-2.77
82,909.0,0.38768115942028986,1.5,58,17,0.293633627658875,0,-2.5
83,924.0,0.5148571428571429,1.6,68,17,0.24750689320290675,0,-3.0300000000000002
84,939.0,0.6043421052631579,1.65,73,3,0.2824718586153588,0,-3.995
85,954.0,0.7819444444444444,1.8,68,3,0.2501799856011519,0,-3.7900000000000005
86,969.0,0.8832894736842105,1.85,72,4,0.25061134463113344,0,-3.955
87,984.0,0.9939240506329113,1.9,77,4,0.23440963515959104,0,-4.22
88,999.0,1.0527906976744186,2.05,86,4,0.2391406328756927,0,-4.715
89,1014.0,1.1181521739130433,2.1,90,2,0.2822318887064654,0,-5.03
90,1017.0,1.1336666666666666,2.1,90,2,0.22871653159555072,1,-5.08
