step,sim_time,avg_wait_time,queue_length,pressure,throughput,avg_speed,action,reward
0,1.0,0.0,0,12,0,14.09929125,0,-1.7999999999999998
1,2.0,0.0,0,20,0,12.83870369963502,2,-3.05
2,3.0,0.0,0,20,0,12.8624503534811,0,-3.05
3,4.0,0.0,0,20,0,12.85190362879689,0,-3.0
4,5.0,0.0,0,20,0,12.987340461595133,0,-3.0
5,6.0,0.0,0,20,0,12.968385499024818,0,-3.0
6,7.0,0.0,0,20,0,13.16504701432875,0,-3.0
7,8.0,0.0,0,20,0,12.987122312290724,4,-3.05
8,9.0,0.0,0,20,0,12.946130782823444,0,-3.05
9,10.0,0.0,0,20,0,12.11533306392007,2,-3.05
10,11.0,0.0,0,16,0,10.125191448941923,0,-2.4499999999999997
11,12.0,0.0,0,16,0,7.421617379486581,4,-2.4499999999999997
12,13.0,0.0,0,14,0,7.073573968203315,2,-2.15
13,14.0,0.0,0,14,0,7.0612101980800706,4,-2.15
14,15.0,0.1111111111111111,1,7,0,6.284850296409479,0,-2.4
15,16.0,0.18181818181818182,1,8,0,7.431442637722525,4,-1.55
16,17.0,0.36363636363636365,2,8,0,7.29218214857238,0,-2.8499999999999996
17,18.0,0.1111111111111111,1,4,0,8.32163558302212,6,0.049999999999999975
18,19.0,0.3333333333333333,2,4,0,8.664434240017437,2,-2.25
19,20.0,0.375,2,2,0,9.568225323288507,0,-0.95
20,21.0,0.625,2,-2,0,9.558365408817336,0,-0.3
21,22.0,0.875,2,-2,0,9.678745610083713,0,-0.3
22,23.0,0.0,0,-2,2,11.096563446602573,4,2.26
23,24.0,0.0,0,-4,0,8.9424782759546,2,0.5499999999999999
24,25.0,0.0,0,3,1,9.85345551122541,0,-0.49499999999999994
25,26.0,0.0,0,9,0,9.051393576384266,0,-1.3499999999999999
26,27.0,0.08333333333333333,1,10,3,8.906922142648629,0,-2.7849999999999997
27,28.0,0.16666666666666666,1,10,0,8.570248846713195,6,-1.85
28,29.0,0.4,2,8,0,9.522688243090084,2,-2.8499999999999996
29,30.0,0.18181818181818182,1,7,0,11.090867800881954,0,-0.4000000000000001
30,31.0,0.0,0,6,0,10.959783447248638,2,0.050000000000000086
31,32.0,0.0,0,6,0,11.094131906099214,0,-0.95
32,33.0,0.0,0,7,1,11.438504397937217,0,-1.0450000000000002
33,34.0,0.0,0,6,0,11.125458652064786,2,-0.95
34,35.0,0.0,0,6,0,11.537871433095795,0,-0.95
35,36.0,0.0,0,6,0,10.286380544915009,0,-0.8999999999999999
36,37.0,0.0,0,8,0,10.41013964728089,2,-1.25
37,38.0,0.0,0,12,2,10.32216530284481,4,-1.8399999999999999
38,39.0,0.0,0,12,0,9.906243192735777,4,-1.7999999999999998
39,40.0,0.0,0,8,0,10.003585663224998,0,-1.25
40,41.0,0.0,0,6,0,9.521631510838931,0,-0.8999999999999999
41,42.0,0.18181818181818182,2,5,1,9.0523442078591,0,-3.345
42,43.0,0.0,0,2,0,9.083088272799216,4,1.65
